Timestamp,E_plus_445LVU_HS--o-_Avg1,E_plus_445LVU_HS--u-_Avg1,E_plus_413TU_HSS-m-_Avg1
2023-08-11 20:40:00+00:00,-10.5354435807,-9.0403923358,22.7978439331
2023-08-11 20:50:00+00:00,-10.5214700052,-9.0487857098,22.8161449432
2023-08-11 21:00:00+00:00,-10.5189986542,-9.0651428753,22.833322525
2023-08-11 21:10:00+00:00,-10.4899059292,-9.0634568008,22.8493347168
2023-08-11 21:20:00+00:00,-10.4474355262,-9.0458939988,22.8644447327
2023-08-11 21:30:00+00:00,-10.4122590977,-9.0350338773,22.8785552979
2023-08-11 21:40:00+00:00,-10.3835313047,-9.0269823403,22.8916664124
2023-08-11 21:50:00+00:00,-10.3401047067,-9.0116922568,22.9034423828
2023-08-11 22:00:00+00:00,-10.3130491002,-9.0035021343,22.9139614105
2023-08-11 22:10:00+00:00,-10.2569100222,-8.9765481613,22.9233379364
2023-08-11 22:20:00+00:00,-10.2424560552,-8.9845673808,22.9317455292
2023-08-11 22:30:00+00:00,-10.1966458517,-8.9634753838,22.9389095306
2023-08-11 22:40:00+00:00,-10.1833790607,-8.9701133983,22.9449939728
2023-08-11 22:50:00+00:00,-10.1565267212,-8.9648103678,22.9500732422
2023-08-11 23:00:00+00:00,-10.1263576762,-8.9592209438,22.9541320801
2023-08-11 23:10:00+00:00,-10.0528775082,-8.9106437578,22.9576416016
2023-08-11 23:20:00+00:00,-10.0146107362,-8.8944205588,22.9606723785
2023-08-11 23:30:00+00:00,-9.9888485737,-8.8912794063,22.9632778168
2023-08-11 23:40:00+00:00,-9.9555753127,-8.8803915708,22.9654254913
2023-08-11 23:50:00+00:00,-9.9245840237,-8.8713976803,22.9672737122
2023-08-12 00:00:00+00:00,-9.8700432437,-8.8388866163,22.9686126709
2023-08-12 00:10:00+00:00,-9.8179507197,-8.8087683958,22.9695796967
2023-08-12 00:20:00+00:00,-9.8020416437,-8.8118171683,22.9699878693
2023-08-12 00:30:00+00:00,-9.7881743362,-8.8179840138,22.9699344635
2023-08-12 00:40:00+00:00,-9.7395324687,-8.7911917213,22.9694595337
2023-08-12 00:50:00+00:00,-9.7198586132,-8.7869326778,22.9688034058
2023-08-12 01:00:00+00:00,-9.6482077242,-8.7391592598,22.9678287506
2023-08-12 01:10:00+00:00,-9.6080654832,-8.7212546208,22.9664669037
2023-08-12 01:20:00+00:00,-9.5989838317,-8.7311631508,22.9649982452
2023-08-12 01:30:00+00:00,-9.5663896257,-8.7197533218,22.9633617401
2023-08-12 01:40:00+00:00,-9.5561808297,-8.7271027243,22.9615211487
2023-08-12 01:50:00+00:00,-9.5111651717,-8.7048143133,22.9596672058
2023-08-12 02:00:00+00:00,-9.4644126302,-8.6795464148,22.9577999115
2023-08-12 02:10:00+00:00,-9.4628928552,-8.6964347963,22.9560852051
2023-08-12 02:20:00+00:00,-9.3992704082,-8.6589995063,22.9542102814
2023-08-12 02:30:00+00:00,-9.3551370567,-8.6359904693,22.9522781372
2023-08-12 02:40:00+00:00,-9.3426370662,-8.6425591988,22.9502220154
2023-08-12 02:50:00+00:00,-9.2986884747,-8.6208759233,22.9477844238
2023-08-12 03:00:00+00:00,-9.2623156322,-8.6072857713,22.9451389313
2023-08-12 03:10:00+00:00,-9.2516957297,-8.6210191278,22.9425926208
2023-08-12 03:20:00+00:00,-9.2058439552,-8.6077754163,22.9403839111
2023-08-12 03:30:00+00:00,-9.1503331077,-8.5804472888,22.9385795593
2023-08-12 03:40:00+00:00,-9.1028322262,-8.5583436533,22.9365940094
2023-08-12 03:50:00+00:00,-9.0847243357,-8.5619559903,22.9347248077
2023-08-12 04:00:00+00:00,-9.0243631662,-8.5265578343,22.9328670502
